Unnamed: 0,goods_id,goods_name,goods_price,goods_store,goods_commit
33,100007824363,航向者 AMD高频/GTX泰坦6G独显/16G内存台式组装电脑主机DIY组装机全套吃鸡游戏企业办公 电脑主机 套一 (i5级+120G+高清核显),699.0,航向者组装电脑旗舰店,6.9万+条评价
34,1555771170,惠普(HP)小欧S01 商务办公台式电脑整机（十代i3-10100 8G 1TB Win10 注册五年上门）21.5英寸,2999.0,惠普京东自营官方旗舰店,5.2万+条评价
35,56494619503,"京品电脑	
华硕(ASUS)灵耀14锐龙版 7nm8核 13.5mm超轻薄14英寸商务办公手提笔记本电脑(R7 16G 512G 高色域)松木青",5799.0,华硕京东自营官方旗舰店,5800+条评价
36,100006910886,武极剑星 i7 10700F/GTX1660Ti 游戏台式吃鸡电脑主机/DIY组装机,5388.0,武极电脑DIY旗舰店,9.8万+条评价
37,100015691166,联想（Lenovo）天逸510Pro 锐龙版 商务办公 家用网课 台式电脑 18升大机箱 WIFI Ryzen5_2400G 8G 1TB机械硬盘,2198.0,联想京东自营官方旗舰店,8700+条评价
38,59641930109,戴尔(DELL)成就5090 英特尔酷睿i5 高性能商用办公台式电脑(i5-9400 8G 256G 1T RX550 4G 四年上门)23.8英寸,4999.0,戴尔京东自营官方旗舰店,"去看二手
							2.3万+条评价"
39,100004051733,惠普（HP）战66 四代 14英寸轻薄笔记本电脑（英特尔酷睿11代i7 16G 512G MX450  高色域 一年上门+意外）,6599.0,惠普京东自营官方旗舰店,7.9万+条评价
40,17651966215,战翔酷睿i5 9400F/高配独显吃鸡游戏电竞台式机电脑主机LOL组装家用办公全套整机送24英寸曲屏 套餐一酷睿i5/8G/256G/游戏独显,2399.0,战翔电脑旗舰店,4400+条评价
41,68703765702,"京品电脑	
戴尔(DELL)灵越AIO 5491 英特尔酷睿i5 微边框一体机台式电脑 23.8英寸(十代i5-10210U 8G 512GSSD 2G独显)银",4799.0,戴尔京东自营官方旗舰店,"去看二手
							3.9万+条评价"
42,100012481694,酷耶(Cooyes) i5 9400F/GTX1060独显/台式机电脑主机整机全套组装家用游戏电竞 套四：i5 9400F+GTX1060 5G独显,3869.0,酷耶电脑旗舰店,6万+条评价
43,1652909104,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 单主机 配置二：i5升860k+4G独显+16G+256G,1599.0,世纪之星电脑整机旗舰店,1.5万+条评价
44,100007079793,"京品电脑	
宏碁(Acer)蜂鸟Fun 14英寸轻薄本 学生商务办公wifi6笔记本电脑(英特尔酷睿i5-10210U 8G 512G MX350独显)银",3799.0,宏碁京东自营旗舰店,2.2万+条评价
45,100016049982,武极 i7 10700F/新品华硕RTX 3070/直播游戏台式吃鸡电脑主机/DIY组装机,8488.0,武极电脑DIY旗舰店,5400+条评价
46,100009093211,联想(Lenovo)拯救者刃7000K 2020英特尔酷睿i5游戏电脑主机(i5-10400F GTX1660Super 16G 512G ARGB侧透),5699.0,联想京东自营旗舰店,2.5万+条评价
47,63539428438,联想ThinkBook 14 2021款 酷睿版 英特尔酷睿i5 14英寸轻薄笔记本(i5-1135G7 16G 512G MX450独显 高色域),5499.0,ThinkPad京东自营旗舰店,6万+条评价
48,68703765714,联想(Lenovo)AIO520C 英特尔酷睿i5微边框一体台式机电脑23.8英寸(十代i5-1035G4 16G 512G SSD 无线键鼠)黑,4999.0,联想京东自营旗舰店,5.5万+条评价
49,65261474045,英特尔酷睿i5办公电脑台式主机家用商用财务设计师炒股电脑DIY英雄联盟吃鸡游戏独显组装台式机整机全套 套餐一（英特尔G2030/8G内存/500G硬盘,1699.0,奥珀电脑专营店,1100+条评价
50,100004364088,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 主机+27英寸曲面显示器 配置四 ：i7升八核/32G/1650独显+512,3799.0,世纪之星电脑整机旗舰店,1.5万+条评价
51,100008098547,【紫客】i5升i7八线程/16G DDR4/2G升4G独显 LOL/CF/DNF吃鸡游戏台式电脑主机 i7-16G-240G固态/4G独显+24寸显示器,2499.0,紫客电脑配件旗舰店,2200+条评价
52,64564366828,"京品电脑	
小米 15.6英寸 网课 学习 金属轻薄(英特尔酷睿i5 8G 512G SSD 2G GDDR5独显 FHD 全键盘 Win10)灰 手提 笔记本电脑",4299.0,小米京东自营旗舰店,9.5万+条评价
53,68975598975,宏碁(Acer)商祺SQX4270 140N 商用办公台式电脑整机 家用电脑（十代G5905 4G 1T 三年上门）19.5英寸,2199.0,宏碁京东自营旗舰店,2.8万+条评价
54,100006472357,酷耶 i7-9700KF/RTX2080独显8G吃鸡游戏台式机电脑主机组装整机 电脑主机 32GD4/RTX2080独显,11299.0,酷耶电脑旗舰店,40+条评价
55,100008631259,硕扬 100元 补差价专用链接/DIY组装机,100.0,硕扬DIY电脑旗舰店,4500+条评价
56,57379720742,"京品电脑	
联想（Lenovo）威6 2020款 英特尔酷睿 i5 14英寸窄边框轻薄笔记本电脑(i5-1035G1 16G 512G PCIE 2G独显)灰",4599.0,联想扬天京东自营旗舰店,8.6万+条评价
0,10023914894903,迅众 酷睿i3 9100F/i5 9400F/i7/32G电竞游戏吃鸡台式机组装电脑主机DIY整机 主机+24英寸曲面 配置一 【9100F/1050Ti】流畅吃鸡,2468.0,迅众旗舰店,7条评价
1,43520124636,阿玛塔 i7/GTX1060/32G游戏吃鸡组装电脑主机 台式组装机DIY 配置二(i7/32G/480)GTX1060 5G,3798.0,阿玛塔电脑旗舰店,2.1万+条评价
2,100007662740,"京品电脑	
AOC AIO大师721 23.8英寸高清IPS屏办公家用一体机台式电脑 (九代酷睿i3-9100 8G 256GSSD WiFi蓝牙 键鼠)",3099.0,AOC电脑京东自营旗舰店,11万+条评价
3,100013099252,戴尔(DELL)灵越3880英特尔酷睿i5商用办公台式机电脑整机(十代i5-10400 8G 256GSSD 1T 三年上门)23.8英寸,4499.0,戴尔京东自营官方旗舰店,4万+条评价
4,100016085452,联想(Lenovo)YOGA 14c 英特尔Evo平台2021款全面屏超轻薄笔记本电脑(i5-1135G7 16G 512G 翻转触控 高色域)灰,6299.0,联想京东自营旗舰店,33万+条评价
5,68767776383,"京品电脑	
戴尔（DELL）旗舰店灵越5593/5493 15.6英寸/14英寸网课办公酷睿固态轻薄笔记本电脑 5493-1629|i5 8G 512G 2G独显",4099.0,戴尔官方旗舰店,2.5万+条评价
6,100014562256,宏碁(Acer)商祺SQX4270 560N 商用办公台式电脑整机 家用电脑（十代i3-10100 8G 512GSSD wifi ）21.5英寸,2999.0,宏碁京东自营旗舰店,2.8万+条评价
7,100004051739,"京品电脑	
戴尔DELL灵越AIO 5491 英特尔酷睿i5微边框高色域一体机台式电脑 23.8英寸(i5-10210U 8G 256G 1T 2G独显)银",4999.0,戴尔京东自营官方旗舰店,"去看二手
							3.9万+条评价"
8,100013206314,"京品电脑	
机械革命（MECHREVO）蛟龙P AMD 17.3英寸144Hz游戏笔记本电脑(锐龙7nm 8核 R7-4800H 16G 512G  RTX 2060)",7599.0,机械革命京东自营官方旗舰店,2.1万+条评价
9,64828641959,彐星（XUEXING） 一体机电脑窄边超薄商务办公家用游戏台式电脑整机 A1:标配办公 酷睿i3/4G/128G 19英寸,979.0,华牛电脑专营店,3200+条评价
10,100004105127,惠普(HP)战66 商用办公台式电脑主机（九代i3-9100 8G 1TB Win10 Office WiFi蓝牙 注册五年上门）21.5英寸,2799.0,惠普京东自营官方旗舰店,1.7万+条评价
11,13836773522,酷耶(Cooyes) i5 9400F/GTX1060独显/台式机电脑主机整机全套组装家用游戏电竞 RX560独显4G主机+24英寸显示器,2578.0,酷耶电脑旗舰店,6万+条评价
12,100008983809,惠普(HP)战66 微边框商用一体台式机电脑23.8英寸(十代i5-10500 8G 256GSSD+1TB 独显 Office 注册五年上门),5099.0,惠普京东自营官方旗舰店,1.4万+条评价
13,13836773521,酷耶(Cooyes) i5 9400F/GTX1060独显/台式机电脑主机整机全套组装家用游戏电竞 套二：酷睿i5+RX560独显4G电脑主机,1979.0,酷耶电脑旗舰店,6万+条评价
14,50532516300,战神盟主 酷睿i5 9400F/i7四核/GTX1060独显 吃鸡游戏台式机电脑主机组装整机 主机+24英寸曲面显示器 i7四核/16G/240G/GTX1060独显6G,4098.0,战神盟主电脑旗舰店,3500+条评价
15,100012583262,惠普(HP)战99 G2 商用办公台式电脑主机（十代i5-10500 8G 512GSSD Win10 Office注册五年上门）21.5英寸,3999.0,惠普京东自营官方旗舰店,1.8万+条评价
16,100011847382,硕扬 intel八核十六线程/GTX1060独显/32G台式电脑主机DIY组装机吃鸡LOL游戏办公 电脑主机 套餐一（i5级四核+高清核显+120G SSD）,689.0,硕扬DIY电脑旗舰店,8800+条评价
17,46778152061,戴尔DELL灵越5000 酷睿i5 15.6英寸网课学习轻薄笔记本电脑(i5-1035G1 8G 512GSSD MX230 2G独显)银,4469.0,戴尔京东自营官方旗舰店,5.4万+条评价
18,71824509564,酷耶(Cooyes) i7四核/GTX1060独显吃鸡游戏台式机电脑主机组装全套整机 主机+24英寸显示器 套餐一(i7四核/8G/GTX1050 2G),2898.0,酷耶电脑旗舰店,500+条评价
